year,site,id,sp,nr,date_pl_f,ln_pl_f,hrb_max,srv,hght,sht_wt,infl_n,grass,forb,leg,cover,tri,consp,cong,freq,barb,bif,fuc,gra,mac,mdn,tr_dis,p_dis,s_grass,s_forb,s_leg,s_cover,s_tri,s_consp,s_cong,s_freq,s_barb,s_bif,s_fuc,s_gra,s_mac,s_mdn,s_tr_dis,s_p_dis,tec,pH,org,bray.p,ca,mg,k,na,fe,exch.n,sand,pc1,pc2,pc3,pc4,flag,flag.reason
2015,barb a,97,barb,nbr pres,12/8/2014,4,10,1,3.4,0.0413,1,20,50,0,70,3,3,0,1,3,0,0,0,0,0,0,0,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,98,barb,nbr rm,1/20/2015,2,0,1,2.4,0.016,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,113,barb,nbr pres,1/20/2015,2,0,1,1.1,0.0046,0,50,30,0,80,1,1,0,1,1,0,0,0,0,0,0,0,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,114,barb,nbr rm,1/20/2015,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,129,barb,nbr pres,12/8/2014,1,0,1,2.6,0.0021,0,5,60,0,65,1,1,0,1,1,0,0,0,0,0,0,0,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,130,barb,nbr rm,12/8/2014,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,145,barb,nbr pres,12/8/2014,3,0,0,NA,NA,0,10,70,0,80,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,146,barb,nbr rm,1/20/2015,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,161,barb,nbr pres,1/20/2015,2,5,0,NA,NA,0,0,70,0,70,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
2015,barb a,162,barb,nbr rm,12/8/2014,3,0,1,1.7,0.0149,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,19.25531915,53.19148936,0.425531915,72.87234043,1.276595745,1.234042553,0.042553191,0.966666666,1.234042553,0,0.042553191,0,0,0,0.203194419,0.020057372,15.69,5.6,10.63,8,826,556,281,230,233,6.1,92.11,-36.20901472,-58.89121978,-72.43495931,8.944014416,NA,
